Class,Count,TotalArea,MeanArea,1/MeanArea,TotalPerimeter,MeanPerimeter,MeanAspectRatio,MeanFormFactor,Branches,Branches/mito,TotalBranchLength,TotalBranchLength/mito,MeanBranchLength,BranchJunctions,BranchJunctions/mito,BranchEndPoints,BranchEndPoints/mito,MeanBranchDiameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,117.000,215.434,1.993,0.522,974.418,8.906,3.222,3.271,173.200,1.586,382.042,3.576,2.222,29.400,0.307,245.000,2.130,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,122.000,160.710,1.482,0.711,760.938,6.846,3.031,2.617,163.333,1.452,269.484,2.496,1.699,21.000,0.233,250.667,2.084,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,100.111,166.828,1.703,0.605,759.051,7.752,3.386,2.897,143.444,1.446,290.471,2.989,2.058,22.333,0.231,209.444,2.096,0.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,123.250,222.193,1.819,0.554,1015.341,8.299,3.359,3.113,190.375,1.540,402.019,3.296,2.148,35.250,0.284,262.625,2.129,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,126.167,228.000,1.798,0.568,1035.358,8.175,3.233,3.061,191.833,1.533,399.755,3.155,2.049,34.500,0.280,266.167,2.115,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,111.625,184.454,1.654,0.617,831.405,7.449,3.153,2.760,157.125,1.421,311.610,2.794,1.973,23.250,0.215,232.500,2.087,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,113.100,236.181,2.154,0.493,1029.199,9.309,3.235,3.299,179.700,1.642,411.080,3.742,2.247,35.200,0.341,239.100,2.123,0.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNM1L,115.500,235.759,2.115,0.503,1142.981,10.175,3.793,4.029,191.375,1.721,490.278,4.397,2.537,39.250,0.374,252.500,2.207,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNM1L,153.500,329.406,2.392,0.471,1494.776,10.620,3.027,3.909,297.000,2.113,640.957,4.651,2.164,74.833,0.583,349.833,2.351,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNM1L,281.500,499.475,1.894,0.552,2420.539,9.078,3.395,3.614,432.833,1.582,1005.168,3.827,2.393,78.333,0.302,588.667,2.108,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
